,Postal Code,Borough,Neighbourhood,n_latitude,n_langitude
104,M6M,York, Mount Dennis,43.6664717,-79.5243136
105,M6M,York, Keelsdale and Silverthorn,43.6664717,-79.5243136
106,M9M,North York,Humberlea,43.6664717,-79.5243136
107,M9M,North York, Emery,43.6664717,-79.5243136
108,M1N,Scarborough,Birch Cliff,43.6664717,-79.5243136
109,M1N,Scarborough, Cliffside West,43.6664717,-79.5243136
110,M2N,North York,Willowdale,43.6664717,-79.5243136
111,M2N,North York, Willowdale East,43.6664717,-79.5243136
112,M3N,North York,Downsview,43.6664717,-79.5243136
113,M4N,Central Toronto,Lawrence Park,43.6664717,-79.5243136
114,M5N,Central Toronto,Roselawn,43.6664717,-79.5243136
115,M6N,York,Runnymede,43.6664717,-79.5243136
116,M6N,York, The Junction North,43.6664717,-79.5243136
117,M9N,York,Weston,43.6664717,-79.5243136
118,M1P,Scarborough,Dorset Park,43.6664717,-79.5243136
119,M1P,Scarborough, Wexford Heights,43.6664717,-79.5243136
120,M1P,Scarborough, Scarborough Town Centre,43.6664717,-79.5243136
121,M2P,North York,York Mills West,43.6664717,-79.5243136
122,M4P,Central Toronto,Davisville North,43.6664717,-79.5243136
123,M5P,Central Toronto,Forest Hill North & West,43.6664717,-79.5243136
124,M5P,Central Toronto, Forest Hill Road Park,43.6664717,-79.5243136
125,M6P,West Toronto,High Park,43.6664717,-79.5243136
126,M6P,West Toronto, The Junction South,43.6664717,-79.5243136
127,M9P,Etobicoke,Westmount,43.6664717,-79.5243136
128,M1R,Scarborough,Wexford,43.6664717,-79.5243136
129,M1R,Scarborough, Maryvale,43.6664717,-79.5243136
130,M2R,North York,Willowdale,43.6664717,-79.5243136
131,M2R,North York, Willowdale West,43.6664717,-79.5243136
132,M4R,Central Toronto,North Toronto West,43.6664717,-79.5243136
133,M4R,Central Toronto,  Lawrence Park,43.6664717,-79.5243136
134,M5R,Central Toronto,The Annex,43.6664717,-79.5243136
135,M5R,Central Toronto, North Midtown,43.6664717,-79.5243136
136,M5R,Central Toronto, Yorkville,43.6664717,-79.5243136
137,M6R,West Toronto,Parkdale,43.6664717,-79.5243136
138,M6R,West Toronto, Roncesvalles,43.6664717,-79.5243136
139,M7R,Mississauga,Canada Post Gateway Processing Centre,43.6664717,-79.5243136
140,M9R,Etobicoke,Kingsview Village,43.6664717,-79.5243136
141,M9R,Etobicoke, St. Phillips,43.6664717,-79.5243136
142,M9R,Etobicoke, Martin Grove Gardens,43.6664717,-79.5243136
143,M9R,Etobicoke, Richview Gardens,43.6664717,-79.5243136
144,M1S,Scarborough,Agincourt,43.6664717,-79.5243136
145,M4S,Central Toronto,Davisville,43.6664717,-79.5243136
146,M5S,Downtown Toronto,University of Toronto,43.6664717,-79.5243136
147,M5S,Downtown Toronto, Harbord,43.6664717,-79.5243136
148,M6S,West Toronto,Runnymede,43.6664717,-79.5243136
149,M6S,West Toronto, Swansea,43.6664717,-79.5243136
150,M1T,Scarborough,Clarks Corners,43.6664717,-79.5243136
151,M1T,Scarborough, Tam O'Shanter,43.6664717,-79.5243136
152,M1T,Scarborough, Sullivan,43.6664717,-79.5243136
153,M4T,Central Toronto,Moore Park,43.6664717,-79.5243136
154,M4T,Central Toronto, Summerhill East,43.6664717,-79.5243136
155,M5T,Downtown Toronto,Kensington Market,43.6664717,-79.5243136
156,M5T,Downtown Toronto, Chinatown,43.6664717,-79.5243136
157,M5T,Downtown Toronto, Grange Park,43.6664717,-79.5243136
158,M1V,Scarborough,Milliken,43.6664717,-79.5243136
159,M1V,Scarborough, Agincourt North,43.6664717,-79.5243136
160,M1V,Scarborough, Steeles East,43.6664717,-79.5243136
161,M1V,Scarborough, L'Amoreaux East,43.6664717,-79.5243136
162,M4V,Central Toronto,Summerhill West,43.6664717,-79.5243136
163,M4V,Central Toronto, Rathnelly,43.6664717,-79.5243136
164,M4V,Central Toronto, South Hill,43.6664717,-79.5243136
165,M4V,Central Toronto, Forest Hill SE,43.6664717,-79.5243136
166,M4V,Central Toronto, Deer Park,43.6664717,-79.5243136
167,M5V,Downtown Toronto,CN Tower,43.6664717,-79.5243136
168,M5V,Downtown Toronto, King and Spadina,43.6664717,-79.5243136
169,M5V,Downtown Toronto, Railway Lands,43.6664717,-79.5243136
170,M5V,Downtown Toronto, Harbourfront West,43.6664717,-79.5243136
171,M5V,Downtown Toronto, Bathurst Quay,43.6664717,-79.5243136
172,M5V,Downtown Toronto, South Niagara,43.6664717,-79.5243136
173,M5V,Downtown Toronto, Island airport,43.6664717,-79.5243136
174,M8V,Etobicoke,New Toronto,43.6664717,-79.5243136
175,M8V,Etobicoke, Mimico South,43.6664717,-79.5243136
176,M8V,Etobicoke, Humber Bay Shores,43.6664717,-79.5243136
177,M9V,Etobicoke,South Steeles,43.6664717,-79.5243136
178,M9V,Etobicoke, Silverstone,43.6664717,-79.5243136
179,M9V,Etobicoke, Humbergate,43.6664717,-79.5243136
180,M9V,Etobicoke, Jamestown,43.6664717,-79.5243136
181,M9V,Etobicoke, Mount Olive,43.6664717,-79.5243136
182,M9V,Etobicoke, Beaumond Heights,43.6664717,-79.5243136
183,M9V,Etobicoke, Thistletown,43.6664717,-79.5243136
184,M9V,Etobicoke, Albion Gardens,43.6664717,-79.5243136
185,M1W,Scarborough,Steeles West,43.6664717,-79.5243136
186,M1W,Scarborough, L'Amoreaux West,43.6664717,-79.5243136
187,M4W,Downtown Toronto,Rosedale,43.6664717,-79.5243136
188,M5W,Downtown Toronto,Stn A PO Boxes,43.6664717,-79.5243136
189,M8W,Etobicoke,Alderwood,43.6664717,-79.5243136
190,M8W,Etobicoke, Long Branch,43.6664717,-79.5243136
191,M9W,Etobicoke,Northwest,43.6664717,-79.5243136
192,M9W,Etobicoke, West Humber - Clairville,43.6664717,-79.5243136
193,M1X,Scarborough,Upper Rouge,43.6664717,-79.5243136
194,M4X,Downtown Toronto,St. James Town,43.6664717,-79.5243136
195,M4X,Downtown Toronto, Cabbagetown,43.6664717,-79.5243136
196,M5X,Downtown Toronto,First Canadian Place,43.6664717,-79.5243136
197,M5X,Downtown Toronto, Underground city,43.6664717,-79.5243136
198,M8X,Etobicoke,The Kingsway,43.6664717,-79.5243136
199,M8X,Etobicoke, Montgomery Road,43.6664717,-79.5243136
200,M8X,Etobicoke, Old Mill North,43.6664717,-79.5243136
201,M4Y,Downtown Toronto,Church and Wellesley,43.6664717,-79.5243136
202,M7Y,East Toronto,Business reply mail Processing Centre,43.6664717,-79.5243136
